from,to,arrows,title,id
Gestational age (weeks),IQ,to,"Coeff=-11.94 (Preterm birth vs None) Age 3 to 16<br>
Kerr-Wilson et al, 2013",https://www.ncbi.nlm.nih.gov/pubmed/21393308
Birth weight,IQ,to,"Coeff=-4.98 (Birthweight < 2500g vs Birthweight >= 2500g) Age 13 to 21 <br>
Kormos et al, 2014",https://www.ncbi.nlm.nih.gov/pubmed/23896861
Maternal Diabetes,IQ,to,"Coeff=-11.70 (Maternal diabetes vs None) Age 3 to 12 <br>
Robles et al, 2015",https://www.ncbi.nlm.nih.gov/pubmed/26566144
Otitis media,IQ,to,"Coeff=-6.30 (Otitis media vs None) Age 1 to 5 <br>
Roberts et al, 2004",https://www.ncbi.nlm.nih.gov/pubmed/14993583
Print Exposure,IQ,to,"Coeff=5.58 (Print exposure vs None) Age 6 to 21 <br>
Mol & Bus, 2011",https://www.ncbi.nlm.nih.gov/pubmed/21219054
Drinks per week during pregnancy,IQ,to,"Coeff=-1.95 (Drinks more than 4 times per weeks vs Drinks less than 5 times per weeks) Age 0.5 to 14 <br>
Flak et al, 2013",https://www.ncbi.nlm.nih.gov/pubmed/23905882
Breastfeeding (months),IQ,to,"Coeff=0.02 (BreastFeeding 1 month vs None) Age 0.5 to 15<br>
Coeff=1.68 (BreastFeeding 2 month vs None) Age 0.5 to 15<br>
Coeff=2.15 (BreastFeeding 3-4 month vs None) Age 0.5 to 15<br>
Coeff=2.78 (BreastFeeding 5-6 month vs None) Age 0.5 to 15 <br>
Coeff=2.91 (BreastFeeding 7 month or more vs None) Age 0.5 to 15 <br>
Anderson et al, 1999",http://ajcn.nutrition.org/content/70/4/525.full
SES at birth,NCEA Attain,to,"Coeff=-4.19 (Most deprived vs least deprived) School-Aged Children <br>
Sirin, 2005",http://rer.sagepub.com/content/75/3/417.abstract
SES at birth,NCEA Fail,to,"Coeff=-4.19 (Most deprived vs least deprived) School-Aged Children <br>
Sirin, 2005",https://goo.gl/K3V9EK
SES at birth,NCEA Dropout,to,"Coeff=-4.19 (Most deprived vs least deprived) School-Aged Children <br>
Sirin, 2005",https://goo.gl/m5ajZh
Highest eduction level between parents,NCEA Attain,to,Coeff=-4.65 (No formal qualification vs Tertiary),z
Highest eduction level between parents,NCEA Fail,to,Coeff=-4.65 (No formal qualification vs Tertiary),aa
Highest eduction level between parents,NCEA Dropout,to,Coeff=-4.65 (No formal qualification vs Tertiary),bb
Print Exposure,NCEA Attain,to,"Coeff=10.23 (Print exposure vs None) Age 21 <br>
Mol & Bus, 2011",http://psycnet.apa.org/journals/bul/137/2/267
Print Exposure,NCEA Fail,to,"Coeff=10.23 (Print exposure vs None) Age 21 <br>
Mol & Bus, 2011",https://goo.gl/6tZsU3
Print Exposure,NCEA Dropout,to,"Coeff=10.23 (Print exposure vs None) Age 21 <br>
Mol & Bus, 2011",https://goo.gl/c1TVkG
Early Childhood Education,NCEA Attain,to,"Coeff=2.12 (Early Childhood Education vs None) Age 3 to 10+ <br>
Camilli et al, 2010",http://eric.ed.gov/?id=EJ888457
Early Childhood Education,NCEA Fail,to,"Coeff=2.12 (Early Childhood Education vs None) Age 3 to 10+ <br>
Camilli et al, 2010",https://goo.gl/XCrM89
Early Childhood Education,NCEA Dropout,to,"Coeff=2.12 (Early Childhood Education vs None) Age 3 to 10+ <br>
Camilli et al, 2010",https://goo.gl/uPpoZb
ADHD,NCEA Attain,to,"Coeff=-11.06 (ADHD vs None) <br>
Frazier et al 2007",http://ldx.sagepub.com/content/40/1/49.abstract
ADHD,NCEA Fail,to,"Coeff=-11.06 (ADHD vs None) <br>
Frazier et al 2007",https://goo.gl/e32KVF
ADHD,NCEA Dropout,to,"Coeff=-11.06 (ADHD vs None) <br>
Frazier et al 2007",https://goo.gl/a5zvVX
Reading Books to Baby,NCEA Attain,to,Coeff=5.43 (Reading Books to Baby vs None),ll
Reading Books to Baby,NCEA Fail,to,Coeff=5.43 (Reading Books to Baby vs None),mm
Reading Books to Baby,NCEA Dropout,to,Coeff=5.43 (Reading Books to Baby vs None),nn
IQ,NCEA Attain,to,Coeff=0.60,oo
IQ,NCEA Fail,to,Coeff=0.60,pp
IQ,NCEA Dropout,to,Coeff=0.60,qq
NCEA Attain,"Not in employment, education, or training",to,OR=2.58 (Passed vs None) Age 17-21,rr
